,length_oggm,area_oggm,volume_oggm
1917,6.4,7.864969201277668,0.8851141800767085
1918,6.4,7.874712675110476,0.8825740983271633
1919,6.4,7.90009682462742,0.8886177621959657
1920,6.5,7.926375556919186,0.8965402842261501
1921,6.5,7.9545052917237475,0.9096503925821051
1922,6.4,7.9557520352741244,0.895812901879965
1923,6.5,7.97074216544899,0.898785136469529
1924,6.6,7.989830542739416,0.8955712597521881
1925,6.5,8.016280741376363,0.9095507156106823
1926,6.6,8.035183169874932,0.9099485705075708
1927,6.7,8.060756502306438,0.9147576371129982
1928,6.6,8.078536853697784,0.9205125413987917
1929,6.7,8.083333026589635,0.9113136009302202
1930,6.7,8.083985682299465,0.9010866191496721
1931,6.8,8.091240453589803,0.8984578272639432
1932,6.8,8.10421527619248,0.903156646508632
1933,6.8,8.09907649653869,0.8899140222510443
