,length_vas,length_oggm,area_vas,area_oggm,volume_vas,volume_oggm
1862,4587.5794297291595,6100.0,6746276.666740673,7343258.883928772,439222889.9385264,610057605.7028933
1863,4579.793348231086,6200.0,6721339.246429757,7326956.05103298,435248076.64305997,606944667.7845119
1864,4571.699103066081,6100.0,6694698.136755818,7311321.995105552,430851108.9654085,603251542.9359853
1865,4563.562453828926,6200.0,6668450.459875713,7302446.327708584,429112729.6268172,604196083.6634588
1866,4554.682538993212,6100.0,6637120.560685741,7267701.9722091,420049097.75003934,590965978.8610349
1867,4546.007119551594,5900.0,6608611.236537849,7258288.933327053,421460757.4579562,592988191.1506084
1868,4537.41105593363,6000.0,6580964.150756575,7245931.51596465,419665516.70255286,590763300.9098167
1869,4528.482770380351,5900.0,6551347.431827977,7218592.429057807,414590673.370958,579545139.5164795
1870,4519.680000168334,6000.0,6523539.490024852,7208062.315393375,414469010.78982747,579094649.840259
1871,4510.762216653963,5900.0,6495215.010108762,7192047.178217528,411115704.21216184,575797841.2499524
1872,4502.049910940829,5900.0,6469070.159588693,7182342.766675537,411422629.5378831,573674400.87743
1873,4493.691838598266,5900.0,6445766.455933092,7167888.074589162,412483812.8882813,574238438.4647067
1874,4485.544683263333,5800.0,6424042.75373335,7155566.368572803,412175846.0086413,572164231.4766809
1875,4477.125846892665,5900.0,6400376.703353895,7132403.453439055,407595769.6564077,565141991.3922381
1876,4468.470554352388,5800.0,6375522.171006585,7110750.69170909,404132543.2847899,560960856.2260996
1877,4460.302629112727,5900.0,6354777.324060365,7105690.328478373,407205175.889716,563073053.2936798
1878,4452.317786117191,5700.0,6335069.964991763,7085816.582028412,406331734.1743276,559650229.8073775
1879,4444.563744631079,5800.0,6317101.351684948,7075333.249905195,406717138.03502756,560806480.6407144
1880,4437.26225204058,5700.0,6302318.568953186,7069802.369521351,409074883.6029086,563768543.0875896
1881,4430.183896108048,5800.0,6288705.965232682,7060293.53250122,409065735.49250615,564441831.9756476
1882,4423.286634252455,5700.0,6276141.394763964,7046310.074172771,409127035.8631383,563872427.4073591
1883,4416.8005915773965,5700.0,6266282.949678422,7075917.47351102,411469811.1623543,570222613.68891
1884,4410.998483893223,5700.0,6260837.001370204,7080354.517129668,416306283.4494768,578814066.3147722
1885,4405.3162302986775,5700.0,6255245.882371211,7038152.535634193,415502407.9479262,577466668.4699976
1886,4399.641437755188,5700.0,6249213.745867916,7021954.153398162,414385896.6875262,575232162.6019685
1887,4394.075267049554,5600.0,6243541.853222087,7012567.054738781,414315223.0840536,574206881.0507798
1888,4388.572682929104,5600.0,6237803.638286205,6996914.6195610715,413683653.15751547,572937982.4255232
1889,4383.792038597083,5500.0,6236902.33974742,7031033.6949453605,419698318.79245,582974895.0148004
1890,4379.3080484751235,5600.0,6236983.266849207,6996218.967220429,420950480.50967234,586430048.6819949
