,RGIId
393,RGI60-11.00394
394,RGI60-11.00395
395,RGI60-11.00396
396,RGI60-11.00397
397,RGI60-11.00398
398,RGI60-11.00399
399,RGI60-11.00400
400,RGI60-11.00401
401,RGI60-11.00402
402,RGI60-11.00403
403,RGI60-11.00404
404,RGI60-11.00405
405,RGI60-11.00406
406,RGI60-11.00407
407,RGI60-11.00408
408,RGI60-11.00409
409,RGI60-11.00410
410,RGI60-11.00411
411,RGI60-11.00412
412,RGI60-11.00413
413,RGI60-11.00414
414,RGI60-11.00415
415,RGI60-11.00416
416,RGI60-11.00417
417,RGI60-11.00418
418,RGI60-11.00419
419,RGI60-11.00420
420,RGI60-11.00421
421,RGI60-11.00422
422,RGI60-11.00423
423,RGI60-11.00424
424,RGI60-11.00425
425,RGI60-11.00426
426,RGI60-11.00427
427,RGI60-11.00428
428,RGI60-11.00429
429,RGI60-11.00430
430,RGI60-11.00431
431,RGI60-11.00432
432,RGI60-11.00433
433,RGI60-11.00434
434,RGI60-11.00435
435,RGI60-11.00436
436,RGI60-11.00437
437,RGI60-11.00438
438,RGI60-11.00439
439,RGI60-11.00440
440,RGI60-11.00441
441,RGI60-11.00442
442,RGI60-11.00443
443,RGI60-11.00444
444,RGI60-11.00445
445,RGI60-11.00446
446,RGI60-11.00447
447,RGI60-11.00448
448,RGI60-11.00449
449,RGI60-11.00450
450,RGI60-11.00451
451,RGI60-11.00452
452,RGI60-11.00453
453,RGI60-11.00454
454,RGI60-11.00455
455,RGI60-11.00456
456,RGI60-11.00457
457,RGI60-11.00458
458,RGI60-11.00459
459,RGI60-11.00460
460,RGI60-11.00461
461,RGI60-11.00462
462,RGI60-11.00463
463,RGI60-11.00464
464,RGI60-11.00465
465,RGI60-11.00466
466,RGI60-11.00467
467,RGI60-11.00468
468,RGI60-11.00469
469,RGI60-11.00470
470,RGI60-11.00471
471,RGI60-11.00472
472,RGI60-11.00473
473,RGI60-11.00474
474,RGI60-11.00475
475,RGI60-11.00476
476,RGI60-11.00477
477,RGI60-11.00478
478,RGI60-11.00479
479,RGI60-11.00480
480,RGI60-11.00481
481,RGI60-11.00482
482,RGI60-11.00483
483,RGI60-11.00484
484,RGI60-11.00485
485,RGI60-11.00486
486,RGI60-11.00487
487,RGI60-11.00488
488,RGI60-11.00489
489,RGI60-11.00490
490,RGI60-11.00491
491,RGI60-11.00492
492,RGI60-11.00493
493,RGI60-11.00494
494,RGI60-11.00495
495,RGI60-11.00496
496,RGI60-11.00497
497,RGI60-11.00498
498,RGI60-11.00499
499,RGI60-11.00500
500,RGI60-11.00501
501,RGI60-11.00502
502,RGI60-11.00503
503,RGI60-11.00504
504,RGI60-11.00505
505,RGI60-11.00506
506,RGI60-11.00507
507,RGI60-11.00508
508,RGI60-11.00509
509,RGI60-11.00510
510,RGI60-11.00511
511,RGI60-11.00512
512,RGI60-11.00513
513,RGI60-11.00514
514,RGI60-11.00515
515,RGI60-11.00516
516,RGI60-11.00517
517,RGI60-11.00518
518,RGI60-11.00519
519,RGI60-11.00520
520,RGI60-11.00521
521,RGI60-11.00522
522,RGI60-11.00523
523,RGI60-11.00524
524,RGI60-11.00525
525,RGI60-11.00526
526,RGI60-11.00527
527,RGI60-11.00528
528,RGI60-11.00529
529,RGI60-11.00530
530,RGI60-11.00531
531,RGI60-11.00532
532,RGI60-11.00533
533,RGI60-11.00534
534,RGI60-11.00535
535,RGI60-11.00536
536,RGI60-11.00537
537,RGI60-11.00538
538,RGI60-11.00539
539,RGI60-11.00540
540,RGI60-11.00541
541,RGI60-11.00542
542,RGI60-11.00543
543,RGI60-11.00544
544,RGI60-11.00545
545,RGI60-11.00546
546,RGI60-11.00547
547,RGI60-11.00548
548,RGI60-11.00549
549,RGI60-11.00550
550,RGI60-11.00551
551,RGI60-11.00552
552,RGI60-11.00553
553,RGI60-11.00554
554,RGI60-11.00555
555,RGI60-11.00556
556,RGI60-11.00557
557,RGI60-11.00558
558,RGI60-11.00559
559,RGI60-11.00560
560,RGI60-11.00561
561,RGI60-11.00562
562,RGI60-11.00563
563,RGI60-11.00564
564,RGI60-11.00565
565,RGI60-11.00566
566,RGI60-11.00567
567,RGI60-11.00568
568,RGI60-11.00569
569,RGI60-11.00570
570,RGI60-11.00571
571,RGI60-11.00572
572,RGI60-11.00573
573,RGI60-11.00574
574,RGI60-11.00575
575,RGI60-11.00576
576,RGI60-11.00577
577,RGI60-11.00578
578,RGI60-11.00579
579,RGI60-11.00580
580,RGI60-11.00581
581,RGI60-11.00582
582,RGI60-11.00583
583,RGI60-11.00584
584,RGI60-11.00585
585,RGI60-11.00586
586,RGI60-11.00587
587,RGI60-11.00588
588,RGI60-11.00589
589,RGI60-11.00590
590,RGI60-11.00591
591,RGI60-11.00592
592,RGI60-11.00593
593,RGI60-11.00594
594,RGI60-11.00595
595,RGI60-11.00596
596,RGI60-11.00597
597,RGI60-11.00598
598,RGI60-11.00599
599,RGI60-11.00600
600,RGI60-11.00601
601,RGI60-11.00602
602,RGI60-11.00603
603,RGI60-11.00604
604,RGI60-11.00605
605,RGI60-11.00606
606,RGI60-11.00607
607,RGI60-11.00608
608,RGI60-11.00609
609,RGI60-11.00610
610,RGI60-11.00611
611,RGI60-11.00612
612,RGI60-11.00613
613,RGI60-11.00614
614,RGI60-11.00615
615,RGI60-11.00616
616,RGI60-11.00617
617,RGI60-11.00618
618,RGI60-11.00619
619,RGI60-11.00620
620,RGI60-11.00621
621,RGI60-11.00622
622,RGI60-11.00623
623,RGI60-11.00624
624,RGI60-11.00625
625,RGI60-11.00626
626,RGI60-11.00627
627,RGI60-11.00628
628,RGI60-11.00629
629,RGI60-11.00630
630,RGI60-11.00631
631,RGI60-11.00632
632,RGI60-11.00633
633,RGI60-11.00634
634,RGI60-11.00635
635,RGI60-11.00636
636,RGI60-11.00637
637,RGI60-11.00638
638,RGI60-11.00639
639,RGI60-11.00640
640,RGI60-11.00641
641,RGI60-11.00642
642,RGI60-11.00643
643,RGI60-11.00644
644,RGI60-11.00645
645,RGI60-11.00646
646,RGI60-11.00647
647,RGI60-11.00648
648,RGI60-11.00649
649,RGI60-11.00650
650,RGI60-11.00651
651,RGI60-11.00652
652,RGI60-11.00653
653,RGI60-11.00654
654,RGI60-11.00655
655,RGI60-11.00656
656,RGI60-11.00657
657,RGI60-11.00658
658,RGI60-11.00659
659,RGI60-11.00660
660,RGI60-11.00661
661,RGI60-11.00662
662,RGI60-11.00663
663,RGI60-11.00664
664,RGI60-11.00665
665,RGI60-11.00666
666,RGI60-11.00667
667,RGI60-11.00668
668,RGI60-11.00669
669,RGI60-11.00670
670,RGI60-11.00671
671,RGI60-11.00672
672,RGI60-11.00673
673,RGI60-11.00674
674,RGI60-11.00675
675,RGI60-11.00676
676,RGI60-11.00677
677,RGI60-11.00678
678,RGI60-11.00679
679,RGI60-11.00680
680,RGI60-11.00681
681,RGI60-11.00682
682,RGI60-11.00683
683,RGI60-11.00684
684,RGI60-11.00685
685,RGI60-11.00686
686,RGI60-11.00687
687,RGI60-11.00688
688,RGI60-11.00689
689,RGI60-11.00690
690,RGI60-11.00691
691,RGI60-11.00692
