,length_ben,area_ben,volume_ben
1923,5019.950583932122,8035722.367568834,646415878.3414191
1924,5025.10215634789,8035726.7950246185,644721278.8743936
1925,5031.478815295794,8035731.685796497,649598412.6419758
1926,5035.850860018961,8035736.206119813,645765772.0322343
1927,5041.119529724501,8035741.101343038,649505407.9182868
1928,5046.618983253497,8035746.171297572,651634867.4838158
1929,5049.834732677091,8035750.795263664,646767554.1579493
1930,5050.300256078028,8035754.839100164,639982872.5564048
1931,5049.463226329526,8035758.602701198,636489412.9623266
1932,5049.874413380667,8035762.6874292195,639728057.0575056
1933,5047.441513663126,8035766.030024769,631947864.576544
1934,5045.361771306315,8035769.439056825,632251845.6166981
1935,5043.00210416522,8035772.716893213,630902535.9977391
1936,5041.9636110169695,8035776.280918379,633905873.1070768
1937,5043.228931120231,8035780.396983789,640018206.7210853
1938,5044.248533564495,8035784.44508312,639686244.0196081
1939,5042.751965469145,8035787.876167766,632982264.0602763
1940,5039.885368808483,8035790.947797155,628782025.9495388
1941,5040.217802492878,8035794.795709335,636844886.5463798
1942,5039.8633330830735,8035798.426854142,635030360.5001546
1943,5036.978561470092,8035801.405854276,627935259.129227
1944,5031.485623356168,8035803.662579377,619977357.7098736
1945,5022.929617754513,8035804.998626524,610130694.1435792
1946,5015.124728802887,8035806.324001594,609847168.4998395
1947,5005.255137185703,8035806.897422651,602154127.304201
1948,4990.778520200935,8035805.99905701,587183876.4682983
1949,4978.222149565277,8035805.209923167,588440628.9560071
1950,4962.755780471385,8035803.3192297155,577413332.9387589
1951,4946.345460698397,8035800.736722112,570874553.6024785
1952,4930.984709862762,8035797.982895729,569327695.7748638
1953,4914.222971738016,8035794.4536312735,561680268.8352816
1954,4897.786872556411,8035790.538164586,558182715.9745119
1955,4882.92404338118,8035786.605661083,558000879.3734852
1956,4870.9295432830595,8035783.064355291,561579545.8691409
1957,4859.6655901036,8035779.439192385,560363970.7637157
1958,4848.776728944091,8035775.625385426,558419301.784443
1959,4835.778572086113,8035770.977263249,550182385.2001324
1960,4822.826807567418,8035765.95415468,546972397.010881
1961,4813.8680440869675,8035761.641439978,553894172.946996
1962,4807.318926553825,8035757.793011865,557798835.9094496
1963,4801.940105024188,8035754.115146689,559131648.2406884
1964,4795.638541089058,8035750.078772274,555358900.2387825
1965,4787.365551162368,8035745.355772649,548673585.4641118
1966,4783.966975368666,8035741.643899648,559092595.3386151
1967,4780.548184774069,8035737.914455338,558161280.9957758
1968,4777.505857347224,8035734.192992659,558250694.7918593
1969,4776.239070960999,8035730.852444752,562061854.4020596
1970,4772.341844096355,8035726.838297148,554931611.1410751
1971,4767.509071699104,8035722.440832042,551521970.2975849
1972,4761.021136127697,8035717.478064724,546044366.0298516
1973,4754.498128255498,8035712.303270913,544298939.0487498
1974,4745.777104723243,8035706.394228054,537056905.1323669
1975,4738.832089166329,8035700.66159401,539347803.9569485
1976,4732.672612939931,8035694.99348035,539578829.0151017
1977,4725.477568717517,8035688.91937096,535396193.55811524
1978,4720.843933800812,8035683.2907460015,540062151.1564982
1979,4717.993254633409,8035678.05861541,543418556.5739464
1980,4715.349351194816,8035672.845271895,543219102.5109112
1981,4714.831191767355,8035668.1081375815,547971828.1515948
1982,4716.040367614749,8035663.835421478,552269370.3045615
1983,4714.9846186284385,8035659.05758574,546773478.1151774
1984,4714.224821602045,8035654.281942234,547260272.9462152
1985,4715.415505633926,8035649.98491671,552066000.604554
1986,4713.358875522359,8035644.941272708,544058789.2591885
1987,4708.79090563363,8035639.1419598255,537155963.6898351
1988,4702.874253386457,8035632.8201076,532595533.8739477
1989,4694.473614531184,8035625.6752793705,524875607.40250915
1990,4685.35213460239,8035618.04975374,520981224.02734226
1991,4676.549326234383,8035610.244117142,519504678.6922714
1992,4665.166615494524,8035601.556855961,510941373.24798024
1993,4652.908451922725,8035592.245477177,505993501.5877009
1994,4642.3452895750415,8035583.014416031,507143977.76323795
1995,4631.646324364878,8035573.538580681,504223602.53500795
1996,4622.456305278283,8035564.165179795,505298087.367527
1997,4611.546207082413,8035554.172663168,498858254.03533834
1998,4600.991962075167,8035543.909486998,497072360.37566835
1999,4589.531761538772,8035533.152511066,492324727.81302124
2000,4578.812795707677,8035522.241582731,491348014.87733406
2001,4567.6827351238835,8035510.97926591,487778717.6766025
2002,4561.202013788926,8035500.601244885,496313487.1709955
2003,4551.828240923164,8035489.536187883,487767210.8528434
